what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1411801854191
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1411801854251
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1411801854252
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1411801854253
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1411801854254
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1411801854255
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1411801854256
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1411801854257
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1411801854258
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1411801854259
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1411801854259
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1411801854259
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1411801854260
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1411801854261
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1411801854262
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1411801854263
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1411801854264
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1411801854264
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1411801854265
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1411801854266
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1411801854279
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1411801854279
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1411801854287
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1411801854288
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1411801854288
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1411801854289
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1411801854289
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1411801854321
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1411801854322
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1411801854323
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1411801854324
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1411801854324
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1411801854324
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1411801854338
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1411801854339
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1411801854339
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1411801854340
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1411801854341
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1411801854341
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1411801854355
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1411801854356
os,sysinfo,,,"win32",1411801854359
arch,sysinfo,,,"x86",1411801854359
ws,sysinfo,,,"win32",1411801854359
locale,sysinfo,,,"es_ES",1411801854359
processors,sysinfo,,,"4",1411801854359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411801854359
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1411801854359
java.specification.name,sysinfo,,,"Java Platform API Specification",1411801854359
java.specification.vendor,sysinfo,,,"Oracle Corporation",1411801854359
java.specification.version,sysinfo,,,"1.7",1411801854359
java.vendor,sysinfo,,,"Oracle Corporation",1411801854359
java.version,sysinfo,,,"1.7.0_67",1411801854359
java.vm.info,sysinfo,,,"mixed mode, sharing",1411801854359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411801854359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411801854359
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1411801854359
java.vm.specification.version,sysinfo,,,"1.7",1411801854359
java.vm.vendor,sysinfo,,,"Oracle Corporation",1411801854359
java.vm.version,sysinfo,,,"24.65-b04",1411801854359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411801868366
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411801872313
